City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
136,ust'-ilimsk,RU,55.69,62,75,5.21,58.0006,102.6619,1687027763
137,smithers,CA,52.12,58,75,0.0,54.7804,-127.1743,1687027383
138,saipan,MP,81.64,100,20,10.36,15.1355,145.701,1687027373
139,jamestown,US,73.53,42,20,9.22,42.097,-79.2353,1687027379
140,hauterive,FR,79.56,65,95,2.53,46.0901,3.4459,1687027763
141,st. john's,CA,57.15,86,100,10.36,47.5649,-52.7093,1687027372
142,tura,IN,71.24,98,99,4.21,25.5198,90.2201,1687027373
143,crane,US,100.54,15,98,8.72,31.3974,-102.3501,1687027379
144,longyearbyen,SJ,44.44,70,75,11.5,78.2186,15.6401,1687027369
145,san juanito,MX,82.35,15,100,10.58,28.0,-107.5833,1687027578
146,onega,RU,42.71,65,2,5.23,63.9061,38.1404,1687027376
147,khilok,RU,51.93,99,100,3.27,51.3674,110.4676,1687027764
148,phan rang-thap cham,VN,78.44,85,93,3.91,11.5667,108.9833,1687027764
149,isiro,CD,69.51,95,92,3.69,2.7739,27.616,1687027764
150,kerikeri,NZ,45.91,95,58,2.91,-35.2268,173.9474,1687027413
151,glace bay,CA,70.27,83,75,10.36,46.1969,-59.957,1687027764
152,scituate,US,66.38,88,100,3.44,42.1959,-70.7259,1687027502
153,arenapolis,BR,81.25,38,0,6.87,-14.4503,-56.8461,1687027764
154,newman,US,92.05,20,1,4.27,37.3138,-121.0208,1687027389
155,junin de los andes,AR,43.75,67,99,1.7,-39.9504,-71.0694,1687027378
156,marsabit,KE,68.79,61,11,21.21,2.3284,37.9899,1687027765
157,bouarfa,MA,90.41,9,0,16.33,32.53,-1.95,1687027765
158,las heras,AR,43.72,25,100,16.58,-46.5419,-68.9359,1687027699
159,elko,US,71.22,32,81,15.01,41.0002,-115.5012,1687027765
160,alice springs,AU,47.75,40,32,4.61,-23.7,133.8833,1687027387
161,amga,RU,51.26,84,20,2.44,60.8953,131.9608,1687027765
162,roswell,US,91.58,47,0,9.22,34.0232,-84.3616,1687027522
163,cambria,US,87.55,70,34,6.91,35.5641,-121.0808,1687027765
164,ranau,MY,69.55,98,100,1.32,5.9538,116.6641,1687027765
165,kemin,KG,70.41,68,4,9.44,42.7846,75.6892,1687027765
166,hawaiian paradise park,US,78.03,82,75,6.91,19.5933,-154.9731,1687027366
167,stanley,GB,67.28,65,0,5.75,54.868,-1.6985,1687027372
168,sumter,US,90.01,45,0,15.57,28.7086,-82.0831,1687027562
169,hadibu,YE,81.39,76,5,15.61,12.65,54.0333,1687027386
170,rahimatpur,IN,75.47,78,51,10.47,17.6,74.2,1687027766
171,dembi dolo,ET,59.94,94,100,1.92,8.5333,34.8,1687027766
172,yumaguzino,RU,59.67,89,100,3.65,52.9041,56.3933,1687027766
173,oryahovo,BG,60.75,89,100,10.78,43.7333,23.9667,1687027766
174,papao,PF,82.08,73,6,18.07,-17.75,-149.55,1687027766
175,nuuk,GL,45.21,53,20,15.01,64.1835,-51.7216,1687027416
176,vorgashor,RU,37.54,74,100,14.09,67.5833,63.95,1687027375
177,qaqortoq,GL,41.41,69,11,4.43,60.7167,-46.0333,1687027379
178,challapata,BO,51.22,9,4,8.05,-18.9,-66.7667,1687027766
179,kingscliff,AU,49.8,100,98,0.0,-28.2667,153.5667,1687027766
180,balabac,PH,79.68,81,38,2.39,7.9868,117.0645,1687027767
181,shubarkuduk,KZ,80.47,19,33,8.77,49.1447,56.4872,1687027767
182,dudinka,RU,45.63,76,100,4.59,69.4058,86.1778,1687027409
183,kyshtym,RU,50.18,66,23,6.44,55.714,60.5528,1687027767
184,qianjiang,CN,71.62,97,100,7.74,30.4151,112.8859,1687027768
185,kone,NC,61.21,80,0,3.36,-21.0595,164.8658,1687027383
186,tralee,IE,61.05,100,100,4.61,52.2704,-9.7026,1687027371
187,hamilton,US,80.74,48,20,3.44,39.1834,-84.5333,1687027327
188,thompson,CA,75.36,38,75,13.8,55.7435,-97.8558,1687027340
189,kitimat,CA,53.98,97,100,5.99,54.0524,-128.6534,1687027768
190,zindah jan,AF,88.74,12,0,6.29,34.3426,61.7468,1687027768
191,polyarnyy,RU,44.96,66,61,5.46,69.1989,33.4478,1687027768
192,ust-nera,RU,56.3,63,100,10.18,64.5667,143.2,1687027373
193,inari,FI,62.8,56,99,9.01,68.906,27.0288,1687027768
194,pangody,RU,34.0,97,100,14.58,65.85,74.4859,1687027391
195,cuatro cienegas de carranza,MX,100.11,24,1,3.56,26.9833,-102.0833,1687027769
196,rawlins,US,60.69,39,40,11.5,41.7911,-107.2387,1687027769
197,georgetown,MY,84.13,85,20,3.44,5.4112,100.3354,1687027371
198,saint-francois,FR,81.84,39,0,4.61,46.4154,3.9054,1687027380
199,arenas de san pedro,ES,83.21,36,15,4.94,40.2104,-5.0869,1687027770
200,fale old settlement,TK,83.68,70,5,10.71,-9.3852,-171.2468,1687027389
201,kismayo,SO,78.51,83,40,14.23,-0.3582,42.5454,1687027374
202,saudarkrokur,IS,59.11,70,100,4.63,65.7461,-19.6394,1687027399
203,karimganj,IN,74.79,97,100,3.31,24.8667,92.35,1687027770
204,davyd-haradok,BY,65.39,85,99,5.28,52.0566,27.2161,1687027771
205,yampil',UA,64.53,73,5,5.44,51.95,33.7833,1687027771
206,usinsk,RU,39.63,71,100,12.06,65.9939,57.5281,1687027520
207,freetown,SL,78.51,89,75,13.8,8.484,-13.2299,1687027399
208,kotabumi,ID,73.76,94,11,3.24,-4.8333,104.9,1687027771
